Disciplina;NivelDisciplina;Ementa;Bibliografia;Programa
BE310;G;População humana e recursos naturais renováveis e não renováveis. Interação entre o homem e ambientes naturais ou construídos. Ambientes brasileiros terrestres e aquáticos. Análise de ambientes: diagramas energéticos e modelos. O homem como modificador do ambiente. População, energia, clima, ecotoxicologia, extinção, biodiversidade e sustentabilidade. Direito ecológico e política ambiental. Responsabilidade do profissional com relação à sociedade e ao ambiente.;; 
BE400;G;Patologias bacterianas viróticas e micóticas em insetos. Susceptibilidade de insetos e eficiência como agentes de controle. Ecologia e utilização de parasitos e predadores. Participação de Controle Biológico como manejo Integrado de Pragas.;; 
BE453;G; ;; 
BE480;G;"A ecologia e seu dom&#237;nio, organismos: ecofisiologia. Popula&#231;&#245;es: din&#226;mica e intera&#231;&#245;es. Comunidades: organiza&#231;&#227;o espacial, temporal e funcional. Ecossistemas: conserva&#231;&#227;o. Aplica&#231;&#227;o de conceitos ecol&#243;gicos em problemas atuais. Excurs&#227;o obrigat&#243;ria (ecossistemas terrestres e aqu&#225;ticos).";;
BE500;G;Introdução à abordagem científica na solução de problemas relacionados aos estudos em Ecologia. Teorias e hipóteses, levantamento de dados, execução de técnicas e protocolos, análise de resultados. Elaboração de relatórios de pesquisa e de outras formas de divulgação.;; 
BE501;G;"Introdu&#231;&#227;o &#224; abordagem cient&#237;fica na solu&#231;&#227;o de problemas relacionados aos estudos em Ecologia Animal.&#160;Teorias e hip&#243;teses, levantamento de dados, execu&#231;&#227;o de t&#233;cnicas e protocolos, an&#225;lise de resultados. Elabora&#231;&#227;o de relat&#243;rios de pesquisa e de outras formas de divulga&#231;&#227;o.";;
BE581;G;"O que &#233; ecologia. Adapta&#231;&#227;o e Evolu&#231;&#227;o. O ambiente f&#237;sico. Adapta&#231;&#245;es de plantas e animais ao ambiente f&#237;sico. Hist&#243;rias de vida. Popula&#231;&#245;es: propriedades, crescimento, competi&#231;&#227;o intraespec&#237;fica, metapopula&#231;&#245;es, abund&#226;ncia e regula&#231;&#227;o populacional. Intera&#231;&#245;es entre esp&#233;cies: competi&#231;&#227;o interespec&#237;fica, preda&#231;&#227;o, parasitismo, mutualismo e decompositores. Ecologia comportamental: sele&#231;&#227;o sexual, sistemas de acasalamento e comportamento social.";;
BE589;G;Conceitos de diversidade biológica. Diversidade de espécies, de ecossistemas e genética. Medidas e estimativas locais, regionais e mundiais. Diversidade funcional. Fatores geradores e mantenedores de diversidade. Conservação de biodiversidade: estratégias e alternativas. Biodiversidade no Brasil.;; 
BE590;G;Noções de Tectônica de Placas. Gondwana e a separação de continentes. A formação dos Andes. O estabelecimento da conexão terrestre entre as regiões Neartica e Neotropical. As mudanças climáticas do Pleistoceno. Caracterização dos biomas continentais do Brasil. Os principais sistemas de classificação dos biomas continentais do Brasil. Principais ameaças a biodiversidade nativa dos ecossistemas brasileiros. Áreas prioritárias para conservação da biodiversidade dos biomas brasileiros.;; 
BE591;G;Fatores quantitativos e categóricos. Métodos de observação, mensuração e experimentais. Organização e tratamento gráfico e estatístico de dados ecológicos. Modelos teóricos e experimentais. Aplicações à avaliação de impacto e monitoramento.;; 
BE592;G;Disciplina intensiva (10 a 14 dias), em tempo integral, de treinamento em observações e experimentação no campo sobre populações e comunidades vegetais e animais, em diferentes ambientes. Projetos práticos curtos com relatórios escritos e apresentações orais, seminários e palestras.;; 
BE593;G;Ação de fatores ecológicos sobre a composição genética e a evolução adaptativa de populações, focalizando ciclos de vida, polimorfismos genéticos e estratégias alimentares.;; 
BE594;G;Ecologia e evolução de interações envolvendo competição, predação, herbivoria, mutualismo e parasitismo.;; 
BE595;G;Seminário envolvendo leitura e discussão de artigos sobre temas específicos de Ecologia.;; 
BE596;G;Seminário envolvendo leitura e discussão de artigos sobre temas específicos de Ecologia.;; 
BE597;G;Educação ambiental e cidadania. Percepção da realidade ambiental. A relação Educação Ambiental-Qualidade de vida. Projetos curtos individuais e em grupo e sua realização. Elaboração de roteiros, reflexões e práticas de Educação Ambiental. Integração Escola-Meio Ambiente-Comunidade.;; 
BE598;G;Conceitos de diversidade biológica. Diversidade de espécies, de ecossistemas e genética. Medidas e estimativas locais, regionais e mundiais. Diversidade funcional. Fatores geradores e mantenedores de diversidade. Conservação de biodiversidade: estratégias e alternativas. Biodiversidade no Brasil.;; 
BE599;G;Análise dos diferentes aspectos ecológicos, culturais, sociais e econômicos dos sistemas de produção agrícola. Potencial das técnicas e manejos agroecológicos para a produção suficiente e sustentável de alimentos Biotecnologia: impactos e potenciais benéficos. Papel da agricultura no desenvolvimento e conservação de recursos naturais. Importância de programas de reforma agrária na equidade e produtividade do setor agrícola. Impacto da globalização econômica na sustentabilidade agrícola, segurança alimentar, qualidade ambiental de vida.;; 
BE600;G;Introdução à abordagem científica na solução de problemas relacionados aos estudos em Ecologia. Teorias e hipóteses, levantamento de dados, execução de protocolos e técnicas, análise de resultados. Elaboração de relatórios de pesquisa e de outras formas de divulgação.;; 
BE601;G;"Introdu&#231;&#227;o &#224; abordagem cient&#237;fica na solu&#231;&#227;o de problemas relacionados aos estudos em Ecologia Animal.&#160;Teorias e hip&#243;teses, levantamento de dados, execu&#231;&#227;o de t&#233;cnicas e protocolos, an&#225;lise de resultados. Elabora&#231;&#227;o de relat&#243;rios de pesquisa e de outras formas de divulga&#231;&#227;o.";;
BE602;G; ;; 
BE681;G;"Estrutura e din&#226;mica de comunidades. Fatores influenciando a estrutura de comunidades. Teias tr&#243;ficas. Ecologia de paisagens. Biogeografia. Ecologia de ecossistemas: fluxo de energia e mat&#233;ria atrav&#233;s de ecossistemas. Padr&#245;es de diversidade. Ecologia humana: crescimento populacional, uso de recursos, sustentabilidade, perda de habitat, biodiversidade e conserva&#231;&#227;o, mudan&#231;as clim&#225;ticas globais.";;
BE682;G;"Desenvolvimento de projetos de pesquisa de campo em Ecologia de Organismos, Popula&#231;&#245;es, Comunidades ou Ecossistemas. Excurs&#227;o de 7 dias.";;
BE694;G;"Planejamento, elabora&#231;&#227;o, aplica&#231;&#227;o e avalia&#231;&#227;o de atividades e programas para o ensino de Ecologia e o ambiente terrestre. Abordagem e elabora&#231;&#227;o de diferentes metodologias para o ensino de Ecologia. Articula&#231;&#227;o tem&#225;tica e integrada de temas contempor&#226;neos para o ensino de biologia. Cria&#231;&#227;o de conte&#250;dos e formas de ensinar pautados na ideia de transversalidade no curr&#237;culo.";;
BE700;G;"Est&#225;gio supervisionado a ser cumprido por alunos do curso de Bacharelado em Ci&#234;ncias Biol&#243;gicas em uma das &#225;reas de pesquisa do Departamento de Biologia Animal, na &#225;rea de Ecologia.";;
BE701;G;"Est&#225;gio supervisionado a ser cumprido por alunos do curso de Bacharelado em Ci&#234;ncias Biol&#243;gicas em uma das &#225;reas de pesquisa do Departamento de Biologia Animal, na &#225;rea de Ecologia.";;
BE714;G; ;; 
BE780;G;Estudos avançados em Ecologia Animal envolvendo tópicos de Ecologia de Organismos, Populações e Comunidades.;; 
BE781;G;"Estudos avan&#231;ados em Ecologia Animal envolvendo t&#243;picos de Ecologia de Organismos, Popula&#231;&#245;es e Comunidades.";;
BE782;G;"Atividades de campo em Ecologia Animal envolvendo t&#243;picos de Ecologia de Organismos, Popula&#231;&#245;es e Comunidades.";;
BE794;G;Estudos de ecologia marinha envolvendo ecologia de organismos, populações, comunidades e ecossistemas.;; 
BE799;G;Desenvolvimento de projetos de pesquisa em Ecologia com apresentação de monografia ou relatório final.;; 
BE800;G;"Est&#225;gio supervisionado a ser cumprido por alunos do curso de Bacharelado em Ci&#234;ncias Biol&#243;gicas em uma das &#225;reas de pesquisa do Departamento de Biologia Animal, na &#225;rea de Ecologia.";;
BE824;G; ;; 
BE881;G;Conceitos básicos de ecologia de organismos, populações, comunidades e ecossistemas.;; 
BE899;G;Desenvolvimento de projetos de pesquisa em Ecologia com apresentação de monografia ou relatório final.;; 
BF013;G; ;; 
BF023;G; ;; 
BF030;G; ;; 
BF043;G; ;; 
BF050;G; ;; 
BF060;G; ;; 
BF063;G; ;; 
BF070;G; ;; 
BF080;G; ;; 
BF081;G;Estudos da função e dos mecanismos de regulação dos sistemas cardiovascular, respiratório, digestivo, renal, endócrino e reprodutor.;; 
BF082;G;"Estudo dos mecanismos de ação hormonal; das funções do sistema endócrino, de reprodução e desenvolvimento. Sistema digestivo e nutrição, regulação do metabolismo interno e da temperatura corpórea.";; 
BF092;G;Estudo da estrutura e função do organismo humano. Inter-relação entre os sistemas nervoso, cardíaco, respiratório, renal, digestório e endócrino, proporcionando conhecimento dos processos básicos das relações do corpo humano em relação ao ambiente.;;
BF110;G; ;; 
BF180;G;Estudo da fisiologia dos sistemas digestório, respiratório, cardiovascular, renal, endócrino e reprodutor, destacando-se os aspectos fundamentais da respiração, fonação, audição e fisiologia oral, correlacionando à lactação, à cronologia da erupção dentária, à mastigação, à articulação temporomandibular e à deglutição. Relação entre os diversos sistemas orgânicos e a fisiologia dos órgãos da fala e da audição.;; 
BF210;G; ;; 
BF223;G;Estudo dos mecanismos neurofisiológicos relacionados à organização da função motora no homem. Os aspectos referentes às vias de transmissão periférica e ao aparelho locomotor são abordados conforme as necessidades do curso. São enfatizadas as questões relacionadas à produção de movimentos voluntários complexos e à aquisição de habilidades motoras. O curso será desenvolvido através de aulas teóricas e práticas.;; 
BF283;G;"Estudo do funcionamento do organismo humano. Fisiologia e biofísica dos sistemas neuromuscular e neurovegetativo; sistema nervoso central; órgãos dos sentidos; sangue e líquidos corporais; sistema cardiovascular; aparelhos respiratório, digestivo e renal; temperatura e metabolismo; glândulas endócrinas e reprodução.";; 
BF284;G;"Estudo do funcionamento do organismo humano. Fisiologia e biofísica dos sistemas neurovascular e neurovegetativo; sistema nervoso central; órgãos dos sentidos; sangue e líquidos corporais; sistema cardiovascular; aparelhos respiratório, digestivo e renal; temperatura e metabolismo, glândulas endócrinas e reprodução.";; 
BF301;G; ;; 
BF310;G;Aquisição de conhecimentos gerais do funcionamento dos sistemas nervoso, neuromuscular e endócrino nas diversas condições ambientais a que são expostos os seres humanos, tais como, crescimento, maturação, variação de disponibilidade de alimento, atividade física, diversos estresses, etc.;; 
BF311;G; ;; 
BF312;G;Aquisição de conhecimentos gerais do funcionamento dos sistemas nervoso, neuromuscular e endócrino nas diversas condições ambientais a que são expostos os seres humanos, tais como, crescimento, maturação, variação de disponibilidade de alimento, atividade física, diversos estresses, etc.;; 
BF315;G;Estudo da Fisiologia e Biofísica celular e dos sistemas neuro-muscular, nervoso, cardiovascular e respiratório. ${\bf OBS.:} O Coordenador desta disciplina, coordenará também IN153.;; 
BF331;G;"Estudo da fisiologia e biofísica dos sistemas neuromuscular, neurovegetativo e nervoso central; sistemas da audição, linguagem e visão; sistemas cardiovascular e respiratório.";; 
BF341;G; ;; 
BF381;G;"Estudo do funcionamento dos sistemas nervoso, neuromuscular e end&#243;crino em diferentes condi&#231;&#245;es ambientais a que s&#227;o expostos os seres humanos.";;
BF410;G;Aquisição de conhecimentos gerais do funcionamento dos sistemas digestivo, cardiovascular, respiratório e renal nas diversas condições ambientais a que são expostos os seres humanos, tais como, atividade física e diferentes fatores estressantes.;; 
BF412;G;Aquisição de conhecimentos gerais do funcionamento dos sistemas digestivo, cardiovascular, respiratório e renal nas diversas condições ambientais a que são expostos os seres humanos, tais como, atividade física e fatores estressantes.;; 
BF415;G;"Fisiologia e Biofísica renal e regulação dos líquidos corporais; do sistema digestivo e dos sentidos químicos. Metabolismo basal e mecanismos de termorregulação). Hormônios: mecanismos de secreção e de ação. Eixo hipotálamo-hipófise e o controle das glândulas endócrinas periféricas. Controle do metabolismo hídrico-eletrolítico, de carboidratos, de lipídios e proteínas. Funções da pineal. Fisiologia e Biofísica do aparelho reprodutor. Aspectos cronobiológicos da Fisiologia. ${\bf OBS.:} O Coordenador desta disciplina, coordenará também IN154.";; 
BF421;G; ;; 
BF431;G; ;; 
BF441;G;"Estudo da fisiologia e biofísica dos sentidos químicos e aparelho digestivo; metabolismo e termorregulação; sangue e líquidos corporais; aparelho renal; hipófise, pineal e timo; córtex e medula adrenal; tireóide, paratireóides e pâncreas endócrino; aparelho reprodutor.";; 
BF480;G;Estudo dos princípios fisiológicos gerais a partir do conceito central de homeostasia. Processos de transporte através de membranas, bioeletricidade e comunicação celelular, abordando os processos de contração muscular e transporte através de epitelios. Homeostasia do organismo como um todo, analisando o papel integrador do Sistema Nervoso Central.;; 
BF481;G;"Estudo do funcionamento dos sistemas digest&#243;rio, cardiovascular, respirat&#243;rio e renal em diferentes condi&#231;&#245;es ambientais a que s&#227;o expostos os seres humanos.";;
BF482;G;"Estudo dos conceitos gerais de homeostasia radioatividade e radiações em biologia. Excitabilidade celular. Processos básicos das relações organismo-ambiente, abordando relações de comunicação celular e plasticidade neural; integração sensório-motora, neurovegetativa e comportamental.";; 
BF483;G;"Estudo do funcionamento dos sistemas nervoso, neuromuscular e end&#243;crino em diferentes condi&#231;&#245;es ambientais a que s&#227;o expostos os seres humanos.";;
BF500;G;Introdução à abordagem científica na solução de problemas relacionados aos estudos em Fisiologia e Biofísica. Teorias e hipóteses, levantamento de dados, execução de protocolos e técnicas, análise de resultados. Elaboração de relatórios de pesquisa e de outras formas de divulgação.;; 
BF501;G;"Introdu&#231;&#227;o &#224; abordagem cient&#237;fica na solu&#231;&#227;o de problemas relacionados aos estudos em Fisiologia Humana.&#160;Teorias e hip&#243;teses, levantamento de dados, execu&#231;&#227;o de t&#233;cnicas e protocolos, an&#225;lise de resultados. Elabora&#231;&#227;o de relat&#243;rios de pesquisa e de outras formas de divulga&#231;&#227;o.";;
BF512;G; ;; 
BF542;G;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ;; 
BF552;G; ;; 
BF582;G;Noções do controle dos líquidos e volumes corporais. Estudo das funções gerais dos sistemas cardíaco, respiratório e renal.;; 
BF583;G;"Estudo do funcionamento dos sistemas digest&#243;rio, cardiovascular, respirat&#243;rio e renal em diferentes condi&#231;&#245;es ambientais a que s&#227;o expostos os seres humanos.";;
BF586;G;"Fisiologia dos sistemas: nervoso, locomotor, digest&#243;rio, end&#243;crino, reprodutor, cardiovascular, respirat&#243;rio e renal em invertebrados e vertebrados.";;
BF587;G;"Processos b&#225;sicos das rela&#231;&#245;es organismo-ambiente abordando rela&#231;&#245;es de comunica&#231;&#227;o celular e plasticidade neural. Integra&#231;&#227;o sensoriomotora, neurovegetativa e comportamental.";;
BF590;G;Estudo dos aspectos da reprodução humana relacionados com diferenciação sexual, puberdade, anticoncepção e parto. Abordagem de temas sobre processos nutricionais e fisiologia endócrina do crescimento e desenvolvimento humano.;; 
BF591;G;Estudo dos mecanismos que diferentes tipos de animais desenvolveram para satisfazer suas exigências. Funcionais e homeostáticas. Elucida as relações evolutivas dos animais através de suas características fisiológicas, bioquímicas e ecológicas.;; 
BF592;G;"Aprendizado de noções básicas de manuseio de animais de laboratório; desenvolvimento de miniprojetos experimentais e de práticas básicas em fisiologia animal.";; 
BF594;G;"Estudo pr&#225;tico do funcionamento dos sistemas nervoso, end&#243;crino, disgest&#243;rio, cadiovascular, respirat&#243;rio e renal.";;
BF600;G;Introdução à abordagem científica na solução de problemas relacionados aos estudos em Fisiologia e Biofísica. Teorias e hipóteses, levantamento de dados, execução de protocolos e técnicas, análise de resultados. Elaboração de relatórios de pesquisa e de outras formas de divulgação.;; 
BF601;G;"Introdu&#231;&#227;o &#224; abordagem cient&#237;fica na solu&#231;&#227;o de problemas relacionados aos estudos em&#160;Fisiologia Humana.&#160;Teorias e hip&#243;teses, levantamento de dados, execu&#231;&#227;o de t&#233;cnicas e protocolos, an&#225;lise de resultados. Elabora&#231;&#227;o de relat&#243;rios de pesquisa e de outras formas de divulga&#231;&#227;o.";;
BF622;G; ;; 
BF662;G; ;; 
BF672;G; ;; 
BF680;G;Abordagem dos aspectos filogenéticos, dinâmica do funcionamento e controle das funções digestiva, circulatória, respiratória, excretora e osmorreguladora nos animais. Órgãos efetores especializados de invertebrados e vertebrados.;; 
BF681;G;Estudo da fisiologia do Sistema Nervoso. Abordagem do papel modulador do Sistema Nervoso Autônomo. Estudo integrado dos Sistemas Motores e Sensoriais e do Comportamento.;; 
BF682;G;Estudo dos mecanismos de ação hormonal, das funções do sistema endócrino, de reprodução e desenvolvimento. Sistema digestivo, nutrição, regulação do metabolismo interno e da temperatura corpórea.;; 
BF694;G;"Planejamento, elabora&#231;&#227;o, aplica&#231;&#227;o e avalia&#231;&#227;o de atividades e programas para o ensino de Fisiologia Humana. Abordagem e elabora&#231;&#227;o de diferentes metodologias para o ensino de Fisiologia Humana. Articula&#231;&#227;o tem&#225;tica e integrada de temas contempor&#226;neos para o ensino de biologia. Cria&#231;&#227;o de conte&#250;dos e formas de ensinar pautados na ideia de transversalidade no curr&#237;culo.";;
BF700;G;"Est&#225;gio supervisionado a ser cumprido por alunos do curso de Bacharelado em Ci&#234;ncias Biol&#243;gicas em uma das &#225;reas de pesquisa do Departamento de Biologia Estrutural e Funcional, na &#225;rea de Fisiologia e Biof&#237;sica.";;
BF701;G;Estágio supervisionado a ser cumprido por alunos do Curso de Bacharelado em Ciências Biológicas, modalidade Médica, em uma das áreas de pesquisa do departamento de Fisiologia e Biofísica.;; 
BF705;G; ;; 
BF715;G; ;; 
BF735;G; ;; 
BF755;G; ;; 
BF780;G;Estudo comparativo das funções endócrina e nervosas, em vertebrados e invertebrados, a partir do nível celular ao comportamental, com ênfase aos papéis integrativos. Desenvolvimento e reprodução animal nos vertebrados.;; 
BF781;G;Fisiologia dos sistemas cardiovascular, respiratório, renal, digestivo, endócrino e reprodutor do organismo humano. Em cada um dos sistemas serão abordados a dinâmica de funcionamento, o controle da função e os aspectos integrativos na manutenção da homeostase.;; 
BF785;G;Estuda os tipos mais comuns de primeiros socorros, enquanto não chega auxílio especializado, frente a situações de distúrbio da consciência, parada cardiorrespiratória, estado de choque, hemorragias, ferimentos e lacerações, afogamentos, intoxicações e lesões ósseas, articulares e tendiosas. Desenvolve ainda procedimentos para atenuar o sofrimento humano no local do acidente ou enquanto ocorre alguma doença súbita. Estabelece também limitações de seus procedimentos de acordo com os conhecimentos e treinamentos adquiridos.;;
BF797;G;Trabalho experimental e bibliográfico em Fisiologia e Biofísica nos laboratórios de Sistema Digestivo e Nutrição, Adrenoceptores, Sistema Endócrino, Sistema Cardiovascular, Sistema Reprodutor, Fisiologia Renal e Fisiologia do Comportamento.;; 
BF798;G;Trabalho experimental bibliográfico em Fisiologia e Biofísica nos laboratórios de Fisisologia Endócrina, Fisiologia Comparada, Adrenoceptores, Fisiologia Renal e Fisiologia do Sistema Digestivo e Nutrição.;; 
BF799;G;Trabalho experimental e bibliográfico nos labortórios de Fisiologia Comparada e de Fisiologia do Comportamento.;; 
BF800;G;"Est&#225;gio supervisionado a ser cumprido por alunos do curso de Bacharelado em Ci&#234;ncias Biol&#243;gicas na &#225;rea de Fisiologia e Biof&#237;sica do Departamento de Biologia Estrutural e Funcional.";;
BF801;G;Estágio supervisionado a ser cumprido por alunos do curso de Bacharelado em Ciências Biológicas, modalidade Médica, em uma das áreas de pesquisa do departamento de Fisiologia e Biofísica.;; 
BF825;G; ;; 
BF845;G; ;; 
BF865;G; ;; 
BF880;G;Estudo dos princípios gerais de homeostasia. Processos de transporte através de membranas, bioeletricidade, comunicação.;; 
BF897;G;Trabalho experimental e bibliográfico em Fisiologia e Biofísica nos laboratórios de Sistema Digestivo e Nutrição, Adrenoceptores, Sistema Endócrino, Sistema Cardiovascular, Sistema Reprodutor, Fisiologia Renal e Fisiologia do Comportamento.;; 
BF898;G;Trabalho experimental e bibliográfico em Fisiologia e Biofísica nos laboratórios de Fisiologia Endócrina, Fisiologia Comparada, Adrenoceptores, Fisiologia Renal e Fisiologia do Sistema Digestivo e Nutrição.;; 
BF899;G;Trabalho experimental e bibliográfico nos laboratórios de Fisiologia Comparada e de Fisiologia do Comportamento.;; 
BF980;G;Estudo da organização geral do sistema nervoso. Integração e modulação da informação neural. Processos sensoriais e motores. Processos de comportamento, aprendizagem e memória.;; 
BF982;G;Noções do controle dos líquidos e volumes corporais. Estudo das funções gerais dos sistemas cardíaco, respiratório, renal e digestivo.;; 
BG081;G;Estudo das propostas de ensino da Genética para o 1º e 2º graus. Análise de recursos e materiais para ensino da Genética. Planejamento, elaboração, aplicação e avaliação de atividades e programas para o ensino da Genética nos 1º e 2º graus.;; 
BG091;G;"Abordagem histórica: as ideias sobre biologia, dos gregos clássicos a Darwin; &quot;A Origem das Espécies&quot; de C. Darwin: a abrangência e os impactos da obra em diferentes áreas; Evidências do processo evolutivo: paleontologia, anatomia comparada, embriologia, genética, bioquímica, distribuição geográfica; A síntese evolutiva; Genética de populações - teorema de Hardy-Weinberg; Processos micro e macroevolutivos.";;
BG180;G;"Conceitos introdut&#243;rios da teoria de Darwin e a ""Origem das esp&#233;cies"", a s&#237;ntese evolutiva.";;
BG181;G;"Conceitos introdut&#243;rios da teoria de Darwin e a ""Origem das esp&#233;cies"", a s&#237;ntese evolutiva.";;
BG280;G;Ciclos de vida. Bases da hereditariedade. Segregações, ligações, interações gênicas e mapa genético. Herança extranuclear, determinação do sexo. Herança ligada ao sexo. Mutações. Noções de citogenética e de genética quantitativa.;; 
BG282;G;"Ciclos de vida. Bases da hereditariedade. Segrega&#231;&#245;es, liga&#231;&#245;es, intera&#231;&#245;es g&#234;nicas e mapa gen&#233;tico. Heran&#231;a extranuclear, determina&#231;&#227;o do sexo. Heran&#231;a ligada ao sexo. Muta&#231;&#245;es. No&#231;&#245;es de citogen&#233;tica e de gen&#233;tica quantitativa.";;
BG302;G; ;; 
BG323;G; ;; 
BG380;G;DNA: Características e propriedades. Base molecular da mutação e recombinação. Transcrição e tradução. Sistemas de regulação. Mecanismos de recombinação em microorganismos. DNA recombinante.;; 
BG412;G; ;; 
BG480;G;O processo evolutivo. Mecanismos de evolução: diversificação gênica e formação da reserva gênica. Equilíbrio de Hardy-Weinberg. Noções de genética de populações. Seleção natural e artificial. Mecanismos de isolamento e modos de reprodução. Fixação filogenética e tendências evolutivas. Filogenia em plantas, animais e no homem.;; 
BG481;G;"Ciclos de vida. Bases da hereditariedade. Segrega&#231;&#245;es, liga&#231;&#245;es, intera&#231;&#245;es g&#234;nicas e mapa gen&#233;tico. Heran&#231;a extranuclear, determina&#231;&#227;o do sexo. Heran&#231;a ligada ao sexo. Muta&#231;&#245;es. No&#231;&#245;es de citogen&#233;tica e de gen&#233;tica quantitativa.";;
BG500;G;Introdução à abordagem científica na solução de problemas relacionados aos estudos em Genética e Evolução. Teorias e hipóteses, levantamento de dados, execução de protocolos e técnicas, análise de resultados. Elaboração de relatórios de pesquisa e de outras formas de divulgação.;; 
BG501;G;"Introdu&#231;&#227;o &#224; abordagem cient&#237;fica na solu&#231;&#227;o de problemas relacionados aos estudos em Evolu&#231;&#227;o.&#160;Teorias e hip&#243;teses, levantamento de dados, execu&#231;&#227;o de protocolos e t&#233;cnicas, an&#225;lise de resultados. Elabora&#231;&#227;o de relat&#243;rios de pesquisa e de outras formas de divulga&#231;&#227;o.";;
BG515;G;O gene como unidade de herança. Interações gênicas. Natureza molecular do gene. Mecanismo de regulação da expressão gênica. Engenharia genética e suas aplicações.;; 
BG520;G;"DNA: Caracter&#237;sticas e propriedades. Base molecular da muta&#231;&#227;o e recombina&#231;&#227;o. Transcri&#231;&#227;o e tradu&#231;&#227;o. Sistemas de regula&#231;&#227;o. Mecanismos de recombina&#231;&#227;o em micro-organismos. DNA recombinante.";;
BG522;G; ;; 
BG580;G;Variabilidade fenotípica e adaptação. Estrutura genética das populações. Seleção natural. Coeficiente de seleção e tipos de seleção. Picos adaptativos e especiação. Evolução dos grandes grupos.;; 
BG581;G;"Biblioteca de DNA. Biblioteca Gen&#244;mica. Vetores de clonagem. Clonagem e express&#227;o em bact&#233;rias. Clonagem e express&#227;o em plantas. Sequenciamento de DNA. Mutag&#234;nese s&#237;tio dirigida. Engenharia de prote&#237;nas.<br />Obs.: &#201; conveniente que seja cursada concomitantemente a BB580.";;
BG582;G;"Biblioteca de DNA. Biblioteca Gen&#244;mica. Vetores de clonagem. Clonagem e express&#227;o em bact&#233;rias. Clonagem e express&#227;o em plantas. Sequenciamento de DNA. Mutag&#234;nese s&#237;tio dirigida. Engenharia de prote&#237;nas.";;
BG585;G;"A era dos ""omas"" trouxe grande quantidade de dados moleculares sobre os sistemas biológicos. Sua análise em conjunto através da bioinformática tem revelado a existência de redes de interação entre genes, proteínas e metabólitos. Esta abordagem é conhecida como Biologia de Sistemas e é uma ferramenta poderosa sobre a qual uma verdadeira engenharia da vida foi criada: a Biologia Sintética. O curso visa abordar os conceitos básicos dessas novas áreas da biologia e sua aplicação usando um formato padrão de partes biológicas.";; 
BG590;G;Estrutura de organismos. Conceito funcional do gene. Regulação gênica. Estrutura de genomas. Projetos Genoma e proteoma. Microarrays.;; 
BG594;G;"Planejamento, elabora&#231;&#227;o, aplica&#231;&#227;o e avalia&#231;&#227;o de atividades e programas para o ensino de Gen&#233;tica e Evolu&#231;&#227;o. Abordagem e elabora&#231;&#227;o de diferentes metodologias par o ensino de Gen&#233;tioca e Evolu&#231;&#227;o. Articula&#231;&#227;o tem&#225;tica e integrada de temas contempor&#226;neos para o ensino de biologia. Cria&#231;&#227;o de conte&#250;dos e formas de ensinar pautados na ideia de transversalidade no curr&#237;culo.";;
BG600;G;Introdução à abordagem científica na solução de problemas relacionados aos estudos em Genética. Teorias e hipóteses, levantamento de dados, execução de protocolos e técnicas, análise de resultados. Elaboração de relatórios de pesquisa e de outras formas de divulgação.;; 
BG601;G;"Introdu&#231;&#227;o &#224; abordagem cient&#237;fica na solu&#231;&#227;o de problemas relacionados aos estudos em Evolu&#231;&#227;o.&#160;Teorias e hip&#243;teses, levantamento de dados, execu&#231;&#227;o de protocolos e t&#233;cnicas, an&#225;lise de resultados. Elabora&#231;&#227;o de relat&#243;rios de pesquisa e de outras formas de divulga&#231;&#227;o.";;
BG680;G;"O processo evolutivo. Mecanismos de evolu&#231;&#227;o: diversifica&#231;&#227;o g&#234;nica e forma&#231;&#227;o da reserva g&#234;nica. Equil&#237;brio de Hardy-Weinberg. No&#231;&#245;es de gen&#233;tica de popula&#231;&#245;es. Sele&#231;&#227;o natural e artificial. Mecanismos de isolamento e modos de reprodu&#231;&#227;o. Fixa&#231;&#227;o filogen&#233;tica e tend&#234;ncias evolutivas. Filogenia em plantas, animais e no homem.";;
BG691;G;Conceito de gene, genoma, EST, proteoma, análise da expressão gênica em larga escala, genoma estrutural.;; 
BG700;G;"Est&#225;gio supervisionado a ser cumprido por alunos do Curso de Bacharelado em Ci&#234;ncias Biol&#243;gicas, na &#225;rea de Gen&#233;tica e Evolu&#231;&#227;o do Departamento de Gen&#233;tica, Evolu&#231;&#227;o e Bioagentes.";;
BG701;G;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ;; 
BG702;G; ;; 
BG703;G; ;; 
BG704;G; ;; 
BG705;G; ;; 
BG706;G; ;; 
BG707;G; ;; 
BG708;G; ;; 
BG709;G; ;; 
BG710;G;Estágio a ser cumprido por alunos do curso de Bacharelado em Ciências Biológicas, Modalidade Médica, em uma das áreas de pesquisa do departamento de Genética e Evolução.;; 
BG712;G;"Est&#225;gio supervisionado a ser cumprido por alunos do curso de Bacharelado em Ci&#234;ncias Biol&#243;gicas na &#225;rea de pesquisa em Evolu&#231;&#227;o do Departamento de Gen&#233;tica, Evolu&#231;&#227;o e Bioagentes.";;
BG714;G; ;; 
BG724;G; ;; 
BG734;G; ;; 
BG744;G; ;; 
BG754;G; ;; 
BG764;G; ;; 
BG784;G; ;; 
